accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,attribute,model,version,seed,fold,best_params
0.9966638865721434,0.9948228365156264,0.9966638865721434,0.9948228365156264,0.9948228365156264,0.9998445555584342,time_of_day,SVM_RBF,base,123,1,
0.9966638865721434,0.9948228365156264,0.9966638865721434,0.9948228365156264,0.9948228365156264,0.9998445555584342,time_of_day,SVM_RBF,tuned,42,1,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9966638865721434,0.9948228365156264,0.9966638865721434,0.9948228365156264,0.9948228365156264,0.9998445555584342,time_of_day,SVM_RBF,tuned,7,1,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9966638865721434,0.9948228365156264,0.9966638865721434,0.9948228365156264,0.9948228365156264,0.9998445555584342,time_of_day,SVM_RBF,tuned,123,1,"{'clf__C': 1.0, 'clf__gamma': 'scale'}"
0.9924937447873228,0.9881862221857296,0.9924401982356456,0.9953416149068324,0.981404958677686,0.9997560385847647,time_of_day,RandomForest,base,42,1,
0.9949958298582152,0.9921613493723849,0.9949722419484857,0.9968847352024922,0.9876033057851239,0.9997992175963109,time_of_day,RandomForest,base,7,1,
0.9933277731442869,0.9895154732028086,0.9932855900190699,0.9958549222797928,0.9834710743801653,0.9999870462965362,time_of_day,RandomForest,base,123,1,
0.9958298582151793,0.9934780314642826,0.9958135260849647,0.9974012474012475,0.9896694214876033,0.9997452438318782,time_of_day,RandomForest,tuned,42,1,"{'max_depth': None, 'min_samples_split': 5}"
0.9949958298582152,0.9921613493723849,0.9949722419484857,0.9968847352024922,0.9876033057851239,0.999801376546888,time_of_day,RandomForest,tuned,7,1,"{'max_depth': None, 'min_samples_split': 5}"
0.994161801501251,0.9908405060694061,0.9941296005760115,0.9963692946058091,0.9855371900826446,0.9997841049422697,time_of_day,RandomForest,tuned,123,1,"{'max_depth': None, 'min_samples_split': 5}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,42,1,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,7,1,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,base,123,1,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,42,1,"{'learning_rate': 0.05, 'max_depth': 3}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,7,1,"{'learning_rate': 0.05, 'max_depth': 3}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,XGBoost,tuned,123,1,"{'learning_rate': 0.2, 'max_depth': 3}"
0.987489574645538,0.980792172049166,0.9875557919028466,0.9758063834284507,0.985988410753301,0.9990846049552234,time_of_day,MLP,base,42,1,
0.9899916597164303,0.9847029905079441,0.9900666763009479,0.9776466200700625,0.9921867578607391,0.999209824088707,time_of_day,MLP,base,7,1,
0.9891576313594662,0.9833532157759439,0.9892150196491338,0.9783407313464383,0.9885769924954878,0.9992832284083353,time_of_day,MLP,base,123,1,
0.9908256880733946,0.9858714666615247,0.9908605769565767,0.9822300377640936,0.9896219245749027,0.9992357314956346,time_of_day,MLP,tuned,42,1,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
0.9958298582151793,0.9935779393916022,0.995845716798444,0.9898785425101215,0.997387669801463,0.9999525030872993,time_of_day,MLP,tuned,7,1,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
0.994161801501251,0.991009115148243,0.9941840035178214,0.9873290409281121,0.9947990880592761,0.9999179598780625,time_of_day,MLP,tuned,123,1,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64,)}"
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,LogisticRegression,base,42,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,LogisticRegression,base,7,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,LogisticRegression,base,123,2,
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,LogisticRegression,tuned,42,2,{'clf__C': 0.1}
0.9991708126036484,0.9987015657652634,0.9991714598406669,0.9979253112033195,0.9994824016563146,1.0,time_of_day,LogisticRegression,tuned,7,2,{'clf__C': 0.01}
1.0,1.0,1.0,1.0,1.0,1.0,time_of_day,LogisticRegression,tuned,123,2,{'clf__C': 1.0}
