accuracy,macro_f1,macro_precision,macro_recall,f1_class_0,f1_class_1,fit_time_sec,fold,attribute,subset,model,seed,n_features,f1_class_2
1.0,1.0,1.0,1.0,1.0,0.0,0.055571556091308594,4,time_of_day,lbp_only,MLP,42,26,
1.0,1.0,1.0,1.0,1.0,0.0,0.061582326889038086,4,time_of_day,lbp_only,MLP,7,26,
0.9375,0.4838709677419355,0.5,0.46875,0.967741935483871,0.0,0.03507208824157715,4,time_of_day,lbp_only,MLP,123,26,
0.9125,0.477124183006536,0.5,0.45625,0.954248366013072,0.0,0.014507055282592773,4,time_of_day,photo_only,LogisticRegression,42,10,
0.9125,0.477124183006536,0.5,0.45625,0.954248366013072,0.0,0.01452326774597168,4,time_of_day,photo_only,LogisticRegression,7,10,
0.9125,0.477124183006536,0.5,0.45625,0.954248366013072,0.0,0.014351844787597656,4,time_of_day,photo_only,LogisticRegression,123,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.013023614883422852,4,time_of_day,photo_only,SVM_RBF,42,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.013020753860473633,4,time_of_day,photo_only,SVM_RBF,7,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.01251840591430664,4,time_of_day,photo_only,SVM_RBF,123,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.40363287925720215,4,time_of_day,photo_only,RandomForest,42,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.3867158889770508,4,time_of_day,photo_only,RandomForest,7,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.38009166717529297,4,time_of_day,photo_only,RandomForest,123,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.04915261268615723,4,time_of_day,photo_only,XGBoost,42,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.04905080795288086,4,time_of_day,photo_only,XGBoost,7,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.04856276512145996,4,time_of_day,photo_only,XGBoost,123,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.03404664993286133,4,time_of_day,photo_only,MLP,42,10,
1.0,1.0,1.0,1.0,1.0,0.0,0.03555750846862793,4,time_of_day,photo_only,MLP,7,10,
0.8875,0.47019867549668876,0.5,0.44375,0.9403973509933775,0.0,0.04372692108154297,4,time_of_day,photo_only,MLP,123,10,
